穴位、经脉、常见病症名称,H1_Link
绪 言,/lilunshuji/zhenjiuxue/93-1-0.html
第一章 经络总论,/lilunshuji/zhenjiuxue/93-2-0.html
一、经络的组成和作用,/lilunshuji/zhenjiuxue/93-2-1.html
二、经络的标本、根结、气街、四海,/lilunshuji/zhenjiuxue/93-2-2.html
三、经络的生理功能和临床应用,/lilunshuji/zhenjiuxue/93-2-3.html
第二章 腧穴总论,/lilunshuji/zhenjiuxue/93-3-0.html
一、腧穴的发展、分类和命名,/lilunshuji/zhenjiuxue/93-3-1.html
二、腧穴的作用,/lilunshuji/zhenjiuxue/93-3-2.html
三、特定穴的意义和特点,/lilunshuji/zhenjiuxue/93-3-3.html
四、腧穴的定位,/lilunshuji/zhenjiuxue/93-3-4.html
十二经脉  一、手太阴肺经（共11穴）,/lilunshuji/zhenjiuxue/93-5-1.html
十二经脉  一、手太阴肺经（共11穴）,/lilunshuji/zhenjiuxue/93-5-1.html
（1） 中府 ZhōngFǔ,/lilunshuji/zhenjiuxue/2767.html
（2） 云门 Yúnmén,/lilunshuji/zhenjiuxue/2768.html
（3） 天府 Tiānfǔ,/lilunshuji/zhenjiuxue/2769.html
（4） 侠白 Xiábái,/lilunshuji/zhenjiuxue/2770.html
（5） 尺泽 Chǐzé,/lilunshuji/zhenjiuxue/2771.html
（6） 孔最 Kǒngzuì,/lilunshuji/zhenjiuxue/2772.html
（7） 列缺 Lìeqūe,/lilunshuji/zhenjiuxue/2773.html
（8） 经渠 Jīngqú,/lilunshuji/zhenjiuxue/2774.html
（9） 太渊 Tàiyuān,/lilunshuji/zhenjiuxue/2775.html
（10） 鱼际 Yújì,/lilunshuji/zhenjiuxue/2776.html
（11） 少商 Shàoshāng,/lilunshuji/zhenjiuxue/2777.html
十二经脉  二、手阳明大肠经（共20穴）,/lilunshuji/zhenjiuxue/93-5-2.html
（1） 商阳 shāngyáng,/lilunshuji/zhenjiuxue/2779.html
（2） 二间 èrjiān,/lilunshuji/zhenjiuxue/2780.html
（3） 三间 Sānjiān,/lilunshuji/zhenjiuxue/2781.html
（4） 合谷 Hégǔ,/lilunshuji/zhenjiuxue/2782.html
（5） 阳溪 Yángxī,/lilunshuji/zhenjiuxue/2783.html
（7） 偏历 Piānlì,/lilunshuji/zhenjiuxue/2784.html
（7） 温溜 Wēnliū,/lilunshuji/zhenjiuxue/2785.html
（8） 下廉 Xiàlián,/lilunshuji/zhenjiuxue/2786.html
（9） 上廉 Shànglián,/lilunshuji/zhenjiuxue/2787.html
（10） 手三里 Shǒusānlǐ,/lilunshuji/zhenjiuxue/2788.html
（11） 曲池 Qūchí,/lilunshuji/zhenjiuxue/2789.html
（12） 肘髎 Zhǒuliáo,/lilunshuji/zhenjiuxue/2790.html
（13） 手五里 Shǒuwǔlǐ,/lilunshuji/zhenjiuxue/2791.html
（14） 臂臑 Bìnào,/lilunshuji/zhenjiuxue/2792.html
（15） 肩髃 Jiānyú,/lilunshuji/zhenjiuxue/2793.html
（16） 巨骨,/lilunshuji/zhenjiuxue/2794.html
（17） 天鼎 Tiāndǐng,/lilunshuji/zhenjiuxue/2795.html
（18） 扶突 Fútū,/lilunshuji/zhenjiuxue/2796.html
（19） 口禾髎 KǒuHéLiáo,/lilunshuji/zhenjiuxue/2797.html
（20） 迎香 Yíngxiāng,/lilunshuji/zhenjiuxue/2798.html
十二经脉  三、足阳明胃经（共45穴）,/lilunshuji/zhenjiuxue/93-5-3.html
（1） 承泣 Chéngqì,/lilunshuji/zhenjiuxue/2800.html
（2） 四白 Sìbái,/lilunshuji/zhenjiuxue/2801.html
（3） 巨髎 Jù1iáo,/lilunshuji/zhenjiuxue/2802.html
（4） 地仓 Dìcāng,/lilunshuji/zhenjiuxue/2803.html
（5） 大迎 Dàyíng,/lilunshuji/zhenjiuxue/2804.html
（6） 颊车 Jiáchē,/lilunshuji/zhenjiuxue/2805.html
（7） 下关 Xiàguān,/lilunshuji/zhenjiuxue/2806.html
（8） 头维 Tóuwéi,/lilunshuji/zhenjiuxue/2807.html
（9） 人迎 Rényíng,/lilunshuji/zhenjiuxue/2808.html
（10） 水突Shǔitū,/lilunshuji/zhenjiuxue/2809.html
（11） 气舍 Qìshě,/lilunshuji/zhenjiuxue/2810.html
（12） 缺盆 Qūepén,/lilunshuji/zhenjiuxue/2811.html
（13） 气户 Qìhù,/lilunshuji/zhenjiuxue/2812.html
（14） 库房 Kùfáng,/lilunshuji/zhenjiuxue/2813.html
